Abha                           22.40 22.40 22.40
Abidjan                        35.80 35.80 35.80
Accra                          5.70 5.70 5.70
Addis Ababa                    7.50 22.93 31.70
Alexandra                      16.60 16.60 16.60
Almaty                         -5.30 -5.30 -5.30
Antananarivo                   37.10 37.10 37.10
Atlanta                        27.10 27.10 27.10
Auckland                       6.10 6.10 6.10
Baghdad                        19.70 19.70 19.70
Baguio                         26.90 26.90 26.90
Batumi                         6.00 6.00 6.00
Bishkek                        -3.90 -3.90 -3.90
Bissau                         24.50 24.50 24.50
Bratislava                     15.20 16.40 17.60
Bucharest                      11.60 11.60 11.60
Bujumbura                      33.00 33.00 33.00
Cairns                         18.80 18.80 18.80
Chicago                        24.40 26.40 28.40
Conakry                        30.60 33.20 35.80
Copenhagen                     0.10 0.10 0.10
Cracow                         -12.90 -12.90 -12.90
Da Lat                         3.60 3.60 3.60
Da Nang                        9.10 9.10 9.10
Dunedin                        11.70 11.70 11.70
Durban                         16.00 16.00 16.00
Edinburgh                      5.20 5.20 5.20
Edmonton                       12.30 12.30 12.30
Frankfurt                      -0.60 -0.60 -0.60
Fresno                         1.60 1.60 1.60
George Town                    26.40 26.40 26.40
Guangzhou                      9.00 9.00 9.00
Hamburg                        14.70 14.70 14.70
Hamilton                       15.40 20.05 24.70
Harbin                         6.60 6.60 6.60
Hat Yai                        16.40 26.85 37.30
Hiroshima                      18.30 18.30 18.30
Hong Kong                      28.30 28.30 28.30
Ifrane                         17.70 17.70 17.70
Kano                           11.10 21.50 31.90
Khartoum                       25.00 25.00 25.00
Kyiv                           20.90 20.90 20.90
La Ceiba                       27.80 27.80 27.80
Lagos                          33.10 33.10 33.10
Los Angeles                    11.10 11.10 11.10
Mandalay                       23.20 23.20 23.20
Marseille                      32.80 32.80 32.80
Mexicali                       16.00 16.00 16.00
Minsk                          11.10 11.10 11.10
Monterrey                      27.80 27.80 27.80
Nairobi                        11.80 11.80 11.80
New York City                  20.40 20.40 20.40
Nouadhibou                     17.90 20.45 23.00
Nouakchott                     19.00 33.90 48.80
Oslo                           -5.00 -5.00 -5.00
Ottawa                         0.00 10.20 20.40
Ouagadougou                    32.30 32.30 32.30
Ouahigouya                     26.20 26.20 26.20
Petropavlovsk-Kamchatsky       -10.20 -10.20 -10.20
Phoenix                        17.60 17.60 17.60
Portland (OR)                  5.20 5.20 5.20
Porto                          30.30 30.30 30.30
Prague                         3.80 3.80 3.80
Praia                          36.60 36.60 36.60
Riga                           13.10 13.10 13.10
Roseau                         18.10 18.10 18.10
Saint-Pierre                   -10.80 -10.80 -10.80
San Jose                       13.90 13.90 13.90
San Juan                       9.80 20.95 32.10
Sana'a                         9.20 9.20 9.20
Sarajevo                       16.40 16.40 16.40
Seattle                        2.60 5.10 7.60
Sokoto                         32.60 32.60 32.60
St. Louis                      5.70 5.70 5.70
Stockholm                      3.80 3.80 3.80
Suwałki                        5.40 5.40 5.40
Tampa                          12.20 12.20 12.20
Toluca                         4.50 4.50 4.50
Valencia                       4.80 11.80 18.80
Wau                            16.50 16.50 16.50
Wrocław                        -1.40 -1.40 -1.40
Yerevan                        3.60 6.80 10.00
Yinchuan                       22.10 22.10 22.10
Zagreb                         11.40 16.10 20.80
